game,date,date_display,draw_id,draw_slot,weekday,hour,numbers,bonus,source,source_csv,archive_segment,my_million,jackpot
euromillions,2006-08-18,20060818,2006033,,VE,,37 40 50 12 39,1 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,4 583 874,
euromillions,2006-08-25,20060825,2006034,,VE,,47 10 28 48 40,8 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 074 377,
euromillions,2006-09-01,20060901,2006035,,VE,,25 50 7 45 3,9 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,8 677 696,
euromillions,2006-09-08,20060908,2006036,,VE,,12 10 32 33 1,8 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,3 545 317,
euromillions,2006-09-15,20060915,2006037,,VE,,10 49 26 6 16,7 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 447 384,
euromillions,2006-09-22,20060922,2006038,,VE,,30 45 49 29 10,8 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 645 345,
euromillions,2006-09-29,20060929,2006039,,VE,,1 3 24 6 18,5 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,2 247 500,
euromillions,2006-10-06,20061006,2006040,,VE,,5 35 11 22 38,7 8,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 123 133,
euromillions,2006-10-13,20061013,2006041,,VE,,2 32 38 41 25,5 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 578 042,
euromillions,2006-10-20,20061020,2006042,,VE,,10 34 47 19 45,6 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,6 996 861,
euromillions,2006-10-27,20061027,2006043,,VE,,3 50 44 4 8,8 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,2 584 388,
euromillions,2006-11-03,20061103,2006044,,VE,,13 11 44 24 49,9 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,8 154 956,
euromillions,2006-11-10,20061110,2006045,,VE,,36 30 14 27 21,2 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 534 696,
euromillions,2006-11-17,20061117,2006046,,VE,,36 12 33 22 32,2 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,1 529 795,
euromillions,2006-11-24,20061124,2006047,,VE,,8 5 40 25 17,5 1,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 987 886,
euromillions,2006-12-01,20061201,2006048,,VE,,16 37 8 41 4,2 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,0 287 375,
euromillions,2006-12-08,20061208,2006049,,VE,,47 36 17 16 18,1 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,9 238 034,
euromillions,2006-12-15,20061215,2006050,,VE,,35 37 9 42 23,3 7,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 405 883,
euromillions,2006-12-22,20061222,2006051,,VE,,20 11 43 9 38,2 3,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,3 565 053,
euromillions,2006-12-29,20061229,2006052,,VE,,14 9 6 13 35,3 4,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,7 332 445,
euromillions,2007-01-05,20070105,2007001,,VE,,17 45 36 29 19,6 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,5 748 897,
euromillions,2007-01-12,20070112,2007002,,VE,,14 8 25 19 11,3 5,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,0 459 380,
euromillions,2007-01-19,20070119,2007003,,VE,,27 5 13 33 42,4 2,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,4 573 118,
euromillions,2007-01-26,20070126,2007004,,VE,,38 11 23 15 30,4 9,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,8 663 206,
euromillions,2007-02-02,20070202,2007005,,VE,,36 14 27 23 30,1 6,,C:\projets\jeux\archives\euromillions\euromillions\euromillions.csv,euromillions,7 358 974,
